English, Finnish
enough, tarpeeksi
good, hyvä
one, yksi
two, kaksi
three, kolme
four, neljä
five, viisi
six, kuusi
seven, seitsemän
eight, kahdeksan
nine, yhdeksän
ten, kymmenen
eleven, yksikoista
twelve, kaksitoista
to be, ole
to eat, syödä
to drink, juoda
to run, juoksee
to love, rakastaa
to use, käyttää
to loan, lainasta
Finland, Suomi
Sweden, Ruotsi
I, minä
you, sinä
he / she, hän
we, me
you, te
they, he
man, mies
woman, nainen
meme, meemi
power plug, pistoke
video, video
cell phone, kännykkä
morning, huomenta
day, päivä
blood, veri
peace, rauha
snow, lumi
mushroom, sieni
star, tähti
and, ja
even, edes
calm, tyyni
nice, mukava
slow, hidas
fast, nopea
popular, suosittu
