English    , Theme    , Nominatiivi, Genetiivi    , Partitiivi , Akkusatiivi, Inessiivi   ,
word       , general  , sana       , sanan        , sanaa      , sanan      , sanassa     ,
words      , general  , sanat      , sanojen      , sanoja     , sanat      , sanoissa    ,
house      , places   , talo       , talon        , taloa      , talon      , talossa     ,
houses     , places   , talot      , talojen      , taloja     , talot      , taloissa    ,
snow       , nature   , lumi       , lumen        , lunta      , lumi       , lumessa     ,
snow pl    , nature   , lumet      , lunten       , lumia      , lumet      , lumissa     ,
mushroom   , nature   , sieni      , sienen       , sientä     , sieni      , sienessä    ,
mushrooms  , nature   , sienet     , sienten      , sieniä     , sienet     , sienissä    ,
star       , nature   , tähti      , tähden       , tähdeä     , tähti      , tähdessä    ,
stars      , nature   , tähdet     , tähtien      , tähtiä     , tähdet     , tähdissä    ,
blood      , body     , veri       , veren        , verta      , veri       , veressä     ,
blood pl   , body     , veret      , verien       , veriä      , veret      , verissä     ,
morning    , time     , huomen     , huomenen     , huomenta   , huomen     , huomenessa  ,
mornings   , time     , huomenet   , huomenten    , huomenia   , huomenet   , huomenissa  ,
day        , time     , päivä      , päivän       , päivää     , päivä      , päivässä    ,
days       , time     , päivät     , päivien      , päivä      , päivät     , päivissä    ,
man        , people   , mies       , miehen       , miestä     , mies       , miehessä    ,
men        , people   , miehet     , miesten      , miehiä     , miehet     , miehissä    ,
woman      , people   , nainen     , naisen       , naista     , naisen     , naisessa    ,
women      , people   , naiset     , naisten      , naisia     , naiset     , naisissa    ,
Finland    , countries, Suomi      , Suomen       , Suomea     , Suomi      , Suomessa    ,
Sweden     , countries, Ruotsi     , Ruotsin      , Ruotsia    , Ruotsi     , Ruotsissa   ,
meme       , digital  , meemi      , meemin       , meemiä     , meemi      , meemissä    ,
video      , digital  , video      , videon       , videota    , videon     , videossa    ,
videos     , digital  , videot     , videoiden    , videoita   , videot     , videoissa   ,
cell phone , digital  , kännykkä   , kännykän     , kännykkää  , kännykkä   , kännykässä  ,
cell phones, digital  , kännykät   , kännyköiden  , kännyköitä , kännykät   , kännykoissä ,
peace      , other    , rauha      , rauhan       , rauhaa     , rauha      , rauhassa    ,
power plug , other    , pistoke    , pistokkeen   , pistoketta , pistokkeen , pistokkeessa,
power plugs, other    , pistokkeet , pistokkeitten, pistokkeita, pistokkeet , pistokkeissa,
