English, Nominatiivi, Genetiivi, Partitiivi, Akkusatiivi, 
good, hyvä, hyvän, hyvää, hyvän,
good (pl), hyvät, hyvien, hyviä, hyvät,
calm, tyyni, tyynen, tyyntä, tyyni,
calm (pl), tyynet, tyynten, tyyniä, tyynet,
nice, mukava, mukavan, mukavaa, mukava,
nice (pl), mukavat, mukavien, mukavia, mukavat
slow, hidas, hitaan, hidasta, hidas,
slow (pl), hidaat, hitaiden, hitaita, hitaat,
fast, nopea, nopean, nopeata, nopea,
fast (pl), nopeat, nopeiden, nopeita, nopeat,
popular, suosittu, suositun, suosittua, suosittu,
popular (pl), suositut, suosittujen, suosittuja, suositut,
