English, Nominatiivi, Genetiivi, Partitiivi, Akkusatiivi,
house, talo, talon, taloa, talon,
houses, talot, talojen, taloja, talot,
word, sana, sanan, sanaa, sanan,
words, sanat, sanojen, sanoja, sanat,
good, hyvä, hyvän, hyvää, hyvän,
Finland, Suomi, 
Sweden, Ruotsi,
I, minä, minun, minua, minut,
you, sinä,sinun, sinua, sinut,
he / she, hän, hänen, hänta, hänet,
we, me, meidän, meitä, meidät,
you, te, teidän, teidä, teidät,
they, he, heidän, heidä, heidät,
man, mies, miehen, miestä, mies,
men, miehet, miesten, miehiä, miehet,
woman, nainen, naisen, naista, naisen, 
women, naiset, naisten, naisia, naiset,
meme, meemi, 
power plug, pistoke, pistokkeen, pistoketta, pistokkeen, 
power plugs, pistokkeet, pistokkeitten, pistokkeita, pistokkeet,
video, video, videon, videota, videon,
videos, videot, videoiden, videoita, videot,
cell phone, kännykkä, 
morning, huomenta,
day, päivä,
blood, veri,
peace, rauha,
snow, lumi,
mushroom, sieni,
star, tähti,
and, ja,
even, edes,
calm, tyyni,
nice, mukava,
slow, hidas,
fast, nopea,
popular, suosittu,
enough, tarpeeksi,
one, yksi,
two, kaksi,
three, kolme,
four, neljä,
five, viisi,
six, kuusi,
seven, seitsemän,
eight, kahdeksan,
nine, yhdeksän,
ten, kymmenen,
eleven, yksikoista,
twelve, kaksitoista,
to be, ole,
to eat, syödä,
to drink, juoda,
to run, juoksee,
to love, rakastaa,
to use, käyttää,
to loan, lainasta,
