English, Nominatiivi, Genetiivi, Partitiivi, Akkusatiivi, Inessiivi,
house, talo, talon, taloa, talon, talossa, 
houses, talot, talojen, taloja, talot, taloissa, 
word, sana, sanan, sanaa, sanan, sanassa,
words, sanat, sanojen, sanoja, sanat, sanoissa,
Finland, Suomi, Suomen, Suomea, Suomi, Suomessa, 
Sweden, Ruotsi, Ruotsin, Ruotsia, Ruotsi, Ruotsissa,
man, mies, miehen, miestä, mies, miehessä,
men, miehet, miesten, miehiä, miehet, miehissä,
woman, nainen, naisen, naista, naisen, naisessa, 
women, naiset, naisten, naisia, naiset, naisissa, 
meme, meemi, meemin, meemiä, meemi, meemissä,
power plug, pistoke, pistokkeen, pistoketta, pistokkeen, pistokkeessa,
power plugs, pistokkeet, pistokkeitten, pistokkeita, pistokkeet, pistokkeissa,
video, video, videon, videota, videon, videossa, 
videos, videot, videoiden, videoita, videot, videoissa,
cell phone, kännykkä, kännykän, kännykkää, kännykkä, kännykässä,
cell phones, kännykät, kännyköiden, kännyköitä, kännykät, kännykoissä,
morning, huomen, huomenen, huomenta, huomen, huomenessa, 
mornings, huomenet, huomenten, huomenia, huomenet, huomenissa,
day, päivä, päivän, päivää, päivä, päivässä,
days, päivät, päivien, päivä, päivät, päivissä,
blood, veri, veren, verta, veri, veressä,
blood pl, veret, verien, veriä, veret, verissä,
peace, rauha, rauhan, rauhaa, rauha, rauhassa, 
snow, lumi, lumen, lunta, lumi, lumessa, 
snow pl, lumet, lunten, lumia, lumet, lumissa, 
mushroom, sieni, sienen, sientä, sieni, sienessä, 
mushrooms, sienet, sienten, sieniä, sienet, sienissä,
star, tähti, tähden, tähdeä, tähti, tähdessä,
stars, tähdet, tähtien, tähtiä, tähdet, tähdissä,
